IS_Name	IS_Family	IS_Group
IS-LL6	IS3	IS3
IS100	IS21	IS21
IS1000A	IS110	IS110
IS1000B	IS110	IS110
IS1001	ISL3	ISL3
IS1002	IS481	IS481
IS1004	IS200/IS605	IS200
IS1006	IS6	IS6
IS1007	IS6	IS6
IS1008	IS6	IS6
IS100kyp	IS21	IS21
IS100L	IS21	IS21
IS100X	IS21	IS21
IS1016	IS1595	IS1016
IS1016C	IS1595	IS1016
IS1016C2	IS1595	IS1016
IS1016P	IS1595	IS1016
IS1016V1	IS1595	IS1016
IS1016V2	IS1595	IS1016
IS1016V3	IS1595	IS1016
IS1016V4	IS1595	IS1016
IS1016V5	IS1595	IS1016
IS1016V6	IS1595	IS1016
IS102	IS5	IS903
IS1021	IS5	IS5
IS103	IS3	IS150
IS1031A	IS5	IS1031
IS1031C	IS5	IS1031
IS1031D	IS5	IS1031
IS1032	IS5	IS1031
IS1051	IS5	IS5
IS1062	IS30	IS30
IS1066	IS630	IS630
IS1068	IS3	IS3
IS1069	IS3	IS3
IS1070	IS30	IS30
IS1076	IS3	IS3
IS1081	IS256	IS256
IS1086	IS30	IS30
IS1087	IS3	IS2
IS1087B	IS3	IS2
IS1088	IS30	IS30
IS1090	IS256	IS256
IS1096	ISL3	ISL3
IS10A	IS4	IS10
IS10L	IS4	IS10
IS10R	IS4	IS10
IS110	IS110	IS110
IS1106	IS5	IS5
IS1110	IS110	IS110
IS1111A	IS110	IS1111
IS1111C	IS110	IS1111
IS1112	IS30	IS30
IS1112a	IS30	IS30
IS1112b	IS30	IS30
IS1113	IS256	IS256
IS1114	IS5	IS5
IS112	IS5	ISL2
IS1121	IS481	IS481
IS1122	IS481	IS481
IS1126	IS5	IS5
IS1131	IS66	IS66
IS1132	IS256	IS256
IS1133	IS3	IS3
IS1136	IS200/IS605	IS1341
IS1137	IS3	IS51
IS1138	IS3	IS150
IS1138B	IS3	IS150
IS1139	IS30	IS30
IS1141	IS3	IS3
IS1151	IS4	IS231
IS116	IS110	IS110
IS1161	IS30	IS30
IS1162	IS21	IS21
IS1163	IS3	IS3
IS1164	IS256	IS256
IS1165	ISL3	ISL3
IS1166	IS256	IS256
IS1167	ISL3	ISL3
IS1167A	ISL3	ISL3
IS1168	IS5	IS5
IS1169	IS5	IS5
IS117	IS110	IS110
IS1170	IS1380	IS942
IS1181	ISL3	ISL3
IS1182	IS1182	IS1182
IS1186	IS5	IS5
IS1187	IS982	IS982
IS1188	IS1380	IS1380
IS1191	IS256	IS256
IS1193	ISL3	ISL3
IS1193D	ISL3	ISL3
IS1194	IS5	IS5
IS120	IS3	IS150
IS1201	IS256	IS256
IS1202	ISNCY	IS1202
IS1203	IS3	IS51
IS1203E	IS3	IS51
IS1206	IS3	IS51
IS1207	ISL3	ISL3
IS1216	IS6	IS6
IS1216E	IS6	IS6
IS1216V	IS6	IS6
IS1221A	IS3	IS150
IS1221B	IS3	IS150
IS1221C	IS3	IS150
IS1221E	IS3	IS150
IS1221F	IS3	IS150
IS1221G	IS3	IS150
IS1221H	IS3	IS150
IS1221I	IS3	IS150
IS1222	IS3	IS407
IS1223	IS3	IS150
IS1230B	IS3	IS3
IS1236	IS3	IS3
IS1237	IS5	IS427
IS1239	IS30	IS30
IS1240	IS3	IS3
IS1245	IS256	IS256
IS1246	IS5	IS5
IS1247	IS1380	IS1380
IS1248A	IS5	IS427
IS1248B	IS5	IS427
IS1249	IS256	IS1249
IS1251	ISL3	ISL3
IS1252	IS30	IS30
IS12528	IS5	IS1031
IS1253A	IS200/IS605	IS605
IS1253B	IS200/IS605	IS605
IS1271	IS4	IS4
IS1272	IS1182	IS1182
IS1294	IS91	IS91
IS1295	IS256	IS256
IS1296	IS3	IS150
IS1297	IS6	IS6
IS1301	IS5	IS427
IS1302	IS3	IS150
IS1310	IS256	IS256
IS1311	IS256	IS256
IS1312	IS3	IS2
IS1313	IS66	IS66
IS1326	IS21	IS21
IS1327	IS6	IS6
IS1328	IS110	IS1111
IS1341	IS200/IS605	IS1341
IS1351	IS3	IS407
IS1353	IS3	IS150
IS1354	IS256	IS256
IS1355	IS5	IS1031
IS1356	IS256	IS256
IS1357	IS701	IS701
IS1358	ISAs1	ISAs1
IS1358A	ISAs1	ISAs1
IS1372	IS3	IS51
IS1373	IS5	ISL2
IS1380A	IS1380	IS1380
IS1380B	IS1380	IS1380
IS1381	IS5	ISL2
IS1381A	IS5	ISL2
IS1382	IS30	IS30
IS1383	IS110	IS1111
IS1384	IS5	IS5
IS13869	ISL3	ISL3
IS1389-B	IS3	IS407
IS1389	IS3	IS407
IS1394	IS30	IS30
IS1395	IS256	IS256
IS1396	ISL3	ISL3
IS1397	IS3	IS150
IS1400	IS3	IS407
IS1403	IS3	IS407
IS1404	IS3	IS407
IS1405	IS5	IS5
IS1406	IS5	IS5
IS1407	IS256	IS256
IS1408	IS256	IS256
IS1411	ISL3	ISL3
IS1412	IS1380	IS1380
IS1413	IS256	IS256
IS1414	IS256	IS256
IS1415	IS21	IS21
IS1416	IS3	IS51
IS1417	IS3	IS2
IS1419	IS481	IS481
IS1420	IS5	IS903
IS1421	IS5	IS427
IS1452	IS701	IS701
IS1469	IS200/IS605	IS200
IS1470	IS30	IS30
IS1471	IS630	IS630
IS1474	IS21	IS21
IS1476	ISL3	ISL3
IS1478	IS5	IS5
IS1479	IS5	IS5
IS1480a	IS5	IS1031
IS1480b	IS5	IS1031
IS1481A	IS4	IS10
IS1485	IS3	IS150
IS1489v1	ISL3	ISL3
IS1490	IS256	IS256
IS1491	IS21	IS21
IS1492	IS110	IS1111
IS1492a	IS110	IS1111
IS14999	IS630	IS630
IS15	IS6	IS6
IS150	IS3	IS150
IS1500A	IS3	IS3
IS1500B	IS3	IS3
IS1501	IS3	IS3
IS1502	IS5	IS427
IS1511	IS256	IS256
IS1512	IS256	IS256
IS1513	IS30	IS30
IS1515	IS5	ISL2
IS1520	IS3	IS3
IS153	IS3	IS3
IS1533	IS110	IS1111
IS1535	IS607	IS607
IS1536	IS607	IS607
IS1537	IS607	IS607
IS1538	IS607	IS607
IS1539	IS607	IS607
